Name,Date,Day,Distance,Duration,Feelings,Status,Sport,Calories,Elevation,Pace,Heart Rate Average,Starttime,Average Watts,Kadenz,Beckenlänge,Bahnen,Züge-100m
Zwift - FTP Test,"September 16, 2022",Friday,16.4,37,Medium,Yes,Bike,239,,,,19.2,112,,,,
Zwift Training Program,"September 17, 2022",Saturday,30.76,67,High 🔥,Yes,Bike,521,120,27.5,150,10.9,122,,,,
Zwift - After being sick for 8 days,"September 25, 2022",Sunday,13.02,30,Medium,Yes,Bike,235,99,25.9,122,17.75,113,,,,
Zwift - 4x5,"September 26, 2022",Monday,23.73,48,High 🔥,Yes,Bike,512,97,29.5,141,16.2,147,,,,
Zwift - 3x Flatroute,"September 28, 2022",Wednesday,32.14,60,High 🔥,Yes,Bike,622,187,32,145,16.45,154,,,,
Outdoor - First time x Vlad,"September 30, 2022",Friday,60.23,120,Low,Yes,Bike,1463,170,27.1,154,15.5,,,,,
"Zwift - First Bike and Run ","October 5, 2022",Wednesday,16.21,30,High 🔥,Yes,Bike,344,80,32.2,146,14.6,170,,,,
First Run - Beach Run,"September 4, 2022",Sunday,3,16,High 🔥,Yes,Run,,8,5.26,,6.75,,,,,
Second Beach Run,"September 5, 2022",Monday,3,19,Medium,Yes,Run,,9,6.12,,6.5,,,,,
"6k with Matt ","September 8, 2022",Thursday,6.3,35,Low,Yes,Run,,51,5.35,,7.5,,,,,
4k Baseline-Test,"September 13, 2022",Tuesday,4,19,Medium,Yes,Run,,14,4.5,,7.7,,,,,
First 7k,"September 14, 2022",Wednesday,7.3,42,High 🔥,Yes,Run,,27,5.49,,6.25,,,,,
4k Morning Run,"September 27, 2022",Tuesday,4,20,High 🔥,Yes,Run,252,11,4.59,179,7.9,,143,,,
Afternoon Run x Juli,"October 3, 2022",Monday,4.7,23,High 🔥,Yes,Run,220,28,4.58,177,18.9,,147,,,
First Bike and Run,"October 5, 2022",Wednesday,5,26,Medium,Yes,Run,312,27,5.05,167,15.25,,,,,
First Swim,"October 7, 2022",Friday,770,57,Medium,Yes,Swim,205,,7.18,134,12.5,,,25,32,50
